Gene name,Annotation,Gene length,Cluster,Cluster length,Global similarity,Fragment,Local similarity,Start gap,End gap
thrA,lcl|CU651637.1_gene_1 [gene=thrA] [locus_tag=LF82_2259] [location=1..2463] [gbkey=Gene],2463,6000,2463,0.97442143727162,False,0.97442143727162,False,False
thrA,lcl|CU651637.1_gene_1 [gene=thrA] [locus_tag=LF82_2259] [location=1..2463] [gbkey=Gene],2463,7025,2463,0.97442143727162,False,0.97442143727162,False,False
thrA,lcl|CU651637.1_gene_1 [gene=thrA] [locus_tag=LF82_2259] [location=1..2463] [gbkey=Gene],2463,62970,843,0.31384490458790093,True,0.9169632265717675,True,False
thrB,lcl|CU651637.1_gene_2 [gene=thrB] [locus_tag=LF82_2260] [location=2465..3397] [gbkey=Gene],933,50329,933,0.9839228295819936,False,0.9839228295819936,False,False
thrC,lcl|CU651637.1_gene_3 [gene=thrC] [locus_tag=LF82_2261] [location=3398..4684] [gbkey=Gene],1287,28812,1287,0.9805749805749806,False,0.9805749805749806,False,False
yaaX,lcl|CU651637.1_gene_4 [gene=yaaX] [locus_tag=LF82_2465] [location=4898..5194] [gbkey=Gene],297,172235,297,0.9865319865319865,False,0.9865319865319865,False,False
yaaX,lcl|CU651637.1_gene_4 [gene=yaaX] [locus_tag=LF82_2465] [location=4898..5194] [gbkey=Gene],297,173228,297,0.900990099009901,False,0.900990099009901,False,False
yaaX,lcl|CU651637.1_gene_4 [gene=yaaX] [locus_tag=LF82_2465] [location=4898..5194] [gbkey=Gene],297,181940,285,0.9528619528619529,False,0.9528619528619529,False,False
yaaJ,lcl|CU651637.1_gene_6 [gene=yaaJ] [locus_tag=LF82_2462] [location=complement(6090..7520)] [gbkey=Gene],1431,9187,1431,0.9804332634521313,False,0.9804332634521313,False,False
yaaJ,lcl|CU651637.1_gene_6 [gene=yaaJ] [locus_tag=LF82_2462] [location=complement(6090..7520)] [gbkey=Gene],1431,22121,1431,0.9748427672955975,False,0.9748427672955975,False,False
yaaJ,lcl|CU651637.1_gene_6 [gene=yaaJ] [locus_tag=LF82_2462] [location=complement(6090..7520)] [gbkey=Gene],1431,28528,1314,0.9000698812019566,False,0.9000698812019566,False,False
yaaJ,lcl|CU651637.1_gene_6 [gene=yaaJ] [locus_tag=LF82_2462] [location=complement(6090..7520)] [gbkey=Gene],1431,39133,1065,0.6982817869415807,True,0.9539906103286385,False,True
talB,lcl|CU651637.1_gene_7 [gene=talB] [locus_tag=LF82_2216] [location=7799..8752] [gbkey=Gene],954,52150,954,0.9916142557651991,False,0.9916142557651991,False,False
mog,lcl|CU651637.1_gene_8 [gene=mog] [locus_tag=LF82_1379] [location=8867..9454] [gbkey=Gene],588,98647,588,0.9863945578231292,False,0.9863945578231292,False,False
yaaH,lcl|CU651637.1_gene_9 [gene=yaaH] [locus_tag=LF82_2460] [location=complement(9659..10225)] [gbkey=Gene],567,97273,567,0.9788359788359788,False,0.9788359788359788,False,False
yaaH,lcl|CU651637.1_gene_9 [gene=yaaH] [locus_tag=LF82_2460] [location=complement(9659..10225)] [gbkey=Gene],567,114097,522,0.9047619047619048,False,0.9047619047619048,False,False
yaaW,lcl|CU651637.1_gene_10 [gene=yaaW] [locus_tag=LF82_2464] [location=complement(10374..11087)] [gbkey=Gene],714,75283,714,0.9873949579831933,False,0.9873949579831933,False,False
yaaW,lcl|CU651637.1_gene_10 [gene=yaaW] [locus_tag=LF82_2464] [location=complement(10374..11087)] [gbkey=Gene],714,74896,714,0.9761904761904762,False,0.9761904761904762,False,False
yaaW,lcl|CU651637.1_gene_10 [gene=yaaW] [locus_tag=LF82_2464] [location=complement(10374..11087)] [gbkey=Gene],714,67907,714,0.9747899159663865,False,0.9747899159663865,False,False
yaaI,lcl|CU651637.1_gene_11 [gene=yaaI] [locus_tag=LF82_2461] [location=complement(11113..11517)] [gbkey=Gene],405,132715,405,0.9604938271604938,False,0.9604938271604938,False,False
yaaI,lcl|CU651637.1_gene_11 [gene=yaaI] [locus_tag=LF82_2461] [location=complement(11113..11517)] [gbkey=Gene],405,151230,312,0.7315270935960592,True,0.9519230769230769,False,True
dnaK,lcl|CU651637.1_gene_12 [gene=dnaK] [locus_tag=LF82_0507] [location=11889..13805] [gbkey=Gene],1917,5682,1917,0.9900886802295253,False,0.9900886802295253,False,False
dnaK,lcl|CU651637.1_gene_12 [gene=dnaK] [locus_tag=LF82_0507] [location=11889..13805] [gbkey=Gene],1917,179193,156,0.081377151799687,True,1.0,True,False
dnaJ,lcl|CU651637.1_gene_13 [gene=dnaJ] [locus_tag=LF82_0506] [location=13894..15024] [gbkey=Gene],1131,21268,1131,0.9796640141467727,False,0.9796640141467727,False,False
hokC,lcl|CU651637.1_gene_14 [gene=hokC] [locus_tag=LF82_1022] [location=complement(15129..15281)] [gbkey=Gene],153,197475,153,1.0,False,1.0,False,False
hokC,lcl|CU651637.1_gene_14 [gene=hokC] [locus_tag=LF82_1022] [location=complement(15129..15281)] [gbkey=Gene],153,203234,153,1.0,False,1.0,False,False
hokC,lcl|CU651637.1_gene_14 [gene=hokC] [locus_tag=LF82_1022] [location=complement(15129..15281)] [gbkey=Gene],153,198749,153,0.9934640522875817,False,0.9934640522875817,False,False
hokC,lcl|CU651637.1_gene_14 [gene=hokC] [locus_tag=LF82_1022] [location=complement(15129..15281)] [gbkey=Gene],153,177791,153,0.9934640522875817,False,0.9934640522875817,False,False
hokC,lcl|CU651637.1_gene_14 [gene=hokC] [locus_tag=LF82_1022] [location=complement(15129..15281)] [gbkey=Gene],153,171686,153,0.9934640522875817,False,0.9934640522875817,False,False
hokC,lcl|CU651637.1_gene_14 [gene=hokC] [locus_tag=LF82_1022] [location=complement(15129..15281)] [gbkey=Gene],153,236072,153,0.9084967320261438,False,0.9084967320261438,False,False
,lcl|CU651637.1_gene_16 [locus_tag=LF82_001] [location=15896..16657] [gbkey=Gene],762,72229,762,0.9986876640419947,False,0.9986876640419947,False,False
